id,repository,subfolder,title,document_type,year,quarter,publication_date,source_url,download_url,local_path,file_type,source_domain,collected_date,notes,status
fin-0001,01_financial_reports,01_financial_reports/annual_reports,Annual Report on Form 10-K,annual_report_form_10k,2016,,2016-12-31,https://www.merck.com/reports/2016-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2017/Q4/merck-q4-10k.pdf,01_financial_reports/annual_reports/FY2016_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2016-annual-report/,downloaded
fin-0002,01_financial_reports,01_financial_reports/annual_reports,2017 Merck Proxy Statement,proxy_statement,2016,,2016-12-31,https://www.merck.com/reports/2016-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2016/annual/MRK004_PXY_Bookmarked.pdf,01_financial_reports/annual_reports/FY2016_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2016-annual-report/,downloaded
fin-0003,01_financial_reports,01_financial_reports/annual_reports,2017 Proxy Voting Results,proxy_voting_results,2016,,2016-12-31,https://www.merck.com/reports/2016-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2017/Vote-Results-2017-Annual-Meeting-of-Shareholders.pdf,,pdf,s21.q4cdn.com,2026-06-12,Metadata-only. Excluded from core annual/proxy document set.,metadata_only
fin-0004,01_financial_reports,01_financial_reports/annual_reports,2017 Annual Report on Form 10-K	,annual_report_form_10k,2017,,2017-12-31,https://www.merck.com/reports/2017-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2017/2017-Form-10-K_FINAL-wo-Exhibits_Filed-022718.pdf,01_financial_reports/annual_reports/FY2017_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2017-annual-report/,downloaded
fin-0005,01_financial_reports,01_financial_reports/annual_reports,2018 Merck Proxy Statement,proxy_statement,2017,,2017-12-31,https://www.merck.com/reports/2017-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2017/Merck_2018-Proxy-Statement_bookmarked.pdf,01_financial_reports/annual_reports/FY2017_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2017-annual-report/,downloaded
fin-0006,01_financial_reports,01_financial_reports/annual_reports,2018 Proxy Voting Results,proxy_voting_results,2017,,2017-12-31,https://www.merck.com/reports/2017-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2018/Q1/Vote-Results-(Website)-2018.pdf,,pdf,s21.q4cdn.com,2026-06-12,Metadata-only. Excluded from core annual/proxy document set.,metadata_only
fin-0007,01_financial_reports,01_financial_reports/annual_reports,2018 Annual Report on Form 10-K	,annual_report_form_10k,2018,,2018-12-31,https://www.merck.com/reports/2018-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2018/Q4/2018-Form-10-K-(without-Exhibits)_FINAL_022719.pdf,01_financial_reports/annual_reports/FY2018_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2018-annual-report/,downloaded
fin-0008,01_financial_reports,01_financial_reports/annual_reports,2019 Merck Proxy Statement,proxy_statement,2018,,2018-12-31,https://www.merck.com/reports/2018-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2018/2019_Merck_Proxy_Statement.pdf,01_financial_reports/annual_reports/FY2018_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2018-annual-report/,downloaded
fin-0009,01_financial_reports,01_financial_reports/annual_reports,2019 Proxy Voting Results,proxy_voting_results,2018,,2018-12-31,https://www.merck.com/reports/2018-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2019/Merck-Proxy-Vote-Results-2019.pdf,,pdf,s21.q4cdn.com,2026-06-12,Metadata-only. Excluded from core annual/proxy document set.,metadata_only
fin-0010,01_financial_reports,01_financial_reports/annual_reports,2019 Annual Report on Form 10-K	,annual_report_form_10k,2019,,2019-12-31,https://www.merck.com/reports/2019-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2019/q4/2019-Form-10-K-Final.pdf,01_financial_reports/annual_reports/FY2019_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2019-annual-report/,downloaded
fin-0011,01_financial_reports,01_financial_reports/annual_reports,2020 Merck Proxy Statement,proxy_statement,2019,,2019-12-31,https://www.merck.com/reports/2019-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2019/annual/766375_016_Merck_Proxy.pdf,01_financial_reports/annual_reports/FY2019_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2019-annual-report/,downloaded
fin-0012,01_financial_reports,01_financial_reports/annual_reports,2020 Proxy Voting Results,proxy_voting_results,2019,,2019-12-31,https://www.merck.com/reports/2019-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2019/annual/IR-Vote-Results-2020.pdf,,pdf,s21.q4cdn.com,2026-06-12,Metadata-only. Excluded from core annual/proxy document set.,metadata_only
fin-0013,01_financial_reports,01_financial_reports/annual_reports,2020 Annual Report on Form 10-K,annual_report_form_10k,2020,,2020-12-31,https://www.merck.com/reports/2020-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2020/q4/4df43d8f-8b85-45da-92ef-7ad82f343c3b.pdf,01_financial_reports/annual_reports/FY2020_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2020-annual-report/,downloaded
fin-0014,01_financial_reports,01_financial_reports/annual_reports,2021 Merck Proxy Statement,proxy_statement,2020,,2020-12-31,https://www.merck.com/reports/2020-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2020/ar/2021-Merck-Proxy-Statement.pdf,01_financial_reports/annual_reports/FY2020_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2020-annual-report/,downloaded
fin-0015,01_financial_reports,01_financial_reports/annual_reports,2021 Proxy Voting Results,proxy_voting_results,2020,,2020-12-31,https://www.merck.com/reports/2020-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2020/ar/IR-Vote-Results-2021.pdf,,pdf,s21.q4cdn.com,2026-06-12,Metadata-only. Excluded from core annual/proxy document set.,metadata_only
fin-0016,01_financial_reports,01_financial_reports/annual_reports,2021 Annual Report on Form 10-K,annual_report_form_10k,2021,,2021-12-31,https://www.merck.com/reports/2021-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2021/ar/adb74fbd-102d-4352-8aa7-d24d7159858e.pdf,01_financial_reports/annual_reports/FY2021_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2021-annual-report/,downloaded
fin-0017,01_financial_reports,01_financial_reports/annual_reports,2022 Merck Proxy Statement,proxy_statement,2021,,2021-12-31,https://www.merck.com/reports/2021-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2021/ar/PDF-of-2022-Proxy-Statement.pdf,01_financial_reports/annual_reports/FY2021_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2021-annual-report/,downloaded
fin-0018,01_financial_reports,01_financial_reports/annual_reports,2022 Annual Report on Form 10-K,annual_report_form_10k,2022,,2022-12-31,https://www.merck.com/reports/2022-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2022/ar/b390be48-92bf-4595-96da-ac5cd7c3d92e-(1).pdf,01_financial_reports/annual_reports/FY2022_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2022-annual-report/,downloaded
fin-0019,01_financial_reports,01_financial_reports/annual_reports,2023 Merck Proxy Statement,proxy_statement,2022,,2022-12-31,https://www.merck.com/reports/2022-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2022/ar/merck-2023-proxy-statement-final-clean-pdf.pdf,01_financial_reports/annual_reports/FY2022_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2022-annual-report/,downloaded
fin-0020,01_financial_reports,01_financial_reports/annual_reports,Annual Report to Security Holders,annual_report_form_10k,2023,,2023-12-31,https://www.merck.com/reports/2023-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2023/ar/annual-report-to-security-holders.pdf,01_financial_reports/annual_reports/FY2023_merck_annual-report-form-10-k.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2023-annual-report/,downloaded
fin-0021,01_financial_reports,01_financial_reports/annual_reports,2024 Merck Proxy Statement,proxy_statement,2023,,2023-12-31,https://www.merck.com/reports/2023-annual-report/,https://s21.q4cdn.com/488056881/files/doc_financials/2023/ar/2024-merck-proxy-statement.pdf,01_financial_reports/annual_reports/FY2023_merck_proxy-statement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/2023-annual-report/,downloaded
fin-0022,01_financial_reports,01_financial_reports/annual_reports,2024 Annual Report on Form 10-K,annual_report_form_10k,2024,,2025-02-25,https://www.merck.com/reports/2024-annual-report/,https://www.merck.com/wp-content/uploads/sites/124/2025/02/0001628280-25-007732.pdf,01_financial_reports/annual_reports/FY2024_merck_annual-report-form-10-k.pdf,pdf,www.merck.com,2026-06-12,Report page: https://www.merck.com/reports/2024-annual-report/,downloaded
fin-0023,01_financial_reports,01_financial_reports/annual_reports,2025 Merck Proxy Statement,proxy_statement,2024,,2025-02-25,https://www.merck.com/reports/2024-annual-report/,https://www.merck.com/wp-content/uploads/sites/124/2025/04/2025-Merck-Proxy-Statement.pdf,01_financial_reports/annual_reports/FY2024_merck_proxy-statement.pdf,pdf,www.merck.com,2026-06-12,Report page: https://www.merck.com/reports/2024-annual-report/,downloaded
fin-0024,01_financial_reports,01_financial_reports/annual_reports,2025 Annual Report on Form 10-K,annual_report_form_10k,2025,,2026-02-25,https://www.merck.com/reports/2025-annual-report/,https://www.merck.com/wp-content/uploads/sites/124/2026/02/MRK-12.31.2025-10K-FINAL.pdf,01_financial_reports/annual_reports/FY2025_merck_annual-report-form-10-k.pdf,pdf,www.merck.com,2026-06-12,Report page: https://www.merck.com/reports/2025-annual-report/,downloaded
fin-0025,01_financial_reports,01_financial_reports/annual_reports,2026 Merck Proxy Statement,proxy_statement,2025,,2026-02-25,https://www.merck.com/reports/2025-annual-report/,https://www.merck.com/wp-content/uploads/sites/124/2026/04/2026-Merck-Proxy-Statement.pdf,01_financial_reports/annual_reports/FY2025_merck_proxy-statement.pdf,pdf,www.merck.com,2026-06-12,Report page: https://www.merck.com/reports/2025-annual-report/,downloaded
fin-0026,01_financial_reports,01_financial_reports/quarterly_earnings,Webcast,webcast_link,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://onlinexperiences.com/Launch/QReg/ShowUUID=2F38F628-35CB-47B7-BBAB-BE26A4CFDF74&LangLocaleID=1033,,link,onlinexperiences.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,metadata_only
fin-0027,01_financial_reports,01_financial_reports/earnings_presentations,1Q24 Merck Earnings Presentation,earnings_presentation,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q1/Q1-2024-Merck-Earnings-Deck-FINAL-UPDATED_.pdf,01_financial_reports/earnings_presentations/2024_Q1_merck_1q24-merck-earnings-presentation.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,downloaded
fin-0028,01_financial_reports,01_financial_reports/quarterly_earnings,1Q24 Merck Earnings Announcement,earnings_announcement,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q1/Merck-News-Release-04-25-24-Merck-Announces-First-Quarter-2024-Financial-Results.pdf,01_financial_reports/quarterly_earnings/2024_Q1_merck_1q24-merck-earnings-announcement.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,downloaded
fin-0029,01_financial_reports,01_financial_reports/financial_disclosures,1Q24 Merck Other Financial Disclosures,financial_disclosure,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q1/04242024-Financial-Highlights-Package-1Q24.pdf,01_financial_reports/financial_disclosures/2024_Q1_merck_1q24-merck-other-financial-disclosures.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,downloaded
fin-0030,01_financial_reports,01_financial_reports/transcripts,Transcript,transcript,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q1/4-25-1q-2024-earnings-transcript.pdf,01_financial_reports/transcripts/2024_Q1_merck_transcript.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,downloaded
fin-0031,01_financial_reports,01_financial_reports/quarterly_earnings,Form 10-Q,form_10q,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q1/1Q24-Form-10-Q-2024-05-03-16-12.pdf,01_financial_reports/quarterly_earnings/2024_Q1_merck_form-10-q.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,downloaded
fin-0032,01_financial_reports,01_financial_reports/financial_disclosures,1Q24 Other Financial Disclosures (Excel),financial_disclosure,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q1/PROTECTED-04242024-Financial-Highlights-Package-1Q24.xlsx,01_financial_reports/financial_disclosures/2024_Q1_merck_1q24-other-financial-disclosures-excel.xlsx,xlsx,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,downloaded
fin-0033,01_financial_reports,01_financial_reports/prepared_remarks,1Q24 Prepared Remarks,prepared_remarks,2024,Q1,2024-03-31,https://www.merck.com/reports/first-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q1/1Q24-Earnings-Prepared-Remarks.pdf,01_financial_reports/prepared_remarks/2024_Q1_merck_1q24-prepared-remarks.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/first-quarter-2024/,downloaded
fin-0034,01_financial_reports,01_financial_reports/quarterly_earnings,Webcast,webcast_link,2024,Q2,2024-06-30,https://www.merck.com/reports/second-quarter-2024/,https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI:4;F:QS!10100&ShowUUID=0C7C351E-923B-4F59-918A-DAFBA50F983A&LangLocaleID=1033,,link,onlinexperiences.com,2026-06-12,Report page: https://www.merck.com/reports/second-quarter-2024/,metadata_only
fin-0035,01_financial_reports,01_financial_reports/earnings_presentations,2Q24 Merck Earnings Presentation,earnings_presentation,2024,Q2,2024-06-30,https://www.merck.com/reports/second-quarter-2024/,https://s21.q4cdn.com/488056881/files/doc_financials/2024/q2/Q2-2024-Merck-Earnings-Deck-Update-10-30-2024.pdf,01_financial_reports/earnings_presentations/2024_Q2_merck_2q24-merck-earnings-presentation.pdf,pdf,s21.q4cdn.com,2026-06-12,Report page: https://www.merck.com/reports/second-quarter-2024/,downloaded
